VA_DATE,VOLCANO_NAME,VOLCANO_ID,OBS_DATE,OBS_LOWALT,OBS_HIGHALT,OBS_CONTOUR,FCST+6_DATE,FCST+6_LOWALT,FCST+6_HIGHALT,FCST+6_CONTOUR,FCST+12_DATE,FCST+12_LOWALT,FCST+12_HIGHALT,FCST+12_CONTOUR,FCST+18_DATE,FCST+18_LOWALT,FCST+18_HIGHALT,FCST+18_CONTOUR
201802270223,FUEGO,342090,201802270200,SFC,FL170,N1431W09053N1426W09051N1406W09143N1423W09149N1431W09053,201802270800,SFC,FL170,N1431W09052N1427W09050N1402W09152N1421W09156N1431W09052,201802271400,SFC,FL170,N1432W09052N1425W09049N1402W09151N1421W09155N1432W09052,201802272000,SFC,FL170,N1431W09052N1425W09051N1408W09152N1426W09154N1431W09052
201802262025,FUEGO,342090,201802262020,SFC,FL170,N1428W09053N1428W09052N1326W09138N1342W09210N1428W09053,201802270230,SFC,FL170,N1428W09052N1428W09052N1344W09137N1401W09204N1428W09052,201802270830,SFC,FL170,N1429W09052N1428W09052N1345W09138N1402W09205N1429W09052,201802271430,SFC,FL170,N1429W09052N1428W09052N1352W09150N1410W09210N1429W09052
201802261441,FUEGO,342090,201802261415,SFC,FL160,N1429W09055N1423W09052N1325W09149N1338W09158N1429W09055,201802262030,SFC,FL160,N1430W09055N1423W09052N1240W09237N1301W09305N1430W09055,201802270230,SFC,FL160,N1430W09053N1424W09052N1240W09251N1314W09322N1430W09053,201802270830,None,None,NO ASH
201802260903,FUEGO,342090,201802260830,SFC,FL160,N1431W09052N1417W09055N1312W09229N1341W09232N1431W09052,201802261430,SFC,FL160,N1427W09053N1421W09050N1259W09208N1318W09224N1427W09053,201802262030,SFC,FL160,N1425W09053N1419W09053N1302W09208N1319W09222N1425W09053,201802270230,SFC,FL160,N1426W09053N1419W09055N1327W09223N1346W09225N1426W09053
201802260317,FUEGO,342090,201802260245,SFC,FL170,N1429W09053N1427W09051N1350W09136N1356W09144N1429W09053,201802260900,SFC,FL170,N1429W09053N1426W09052N1347W09137N1355W09147N1429W09053,201802261500,SFC,FL170,N1429W09052N1426W09050N1345W09137N1355W09148N1429W09052,201802262100,SFC,FL170,N1429W09052N1426W09050N1344W09137N1354W09149N1429W09052
201802252131,FUEGO,342090,201802252045,SFC,FL170,N1428W09053N1401W09132N1406W09137N1428W09053,201802260300,SFC,FL170,N1429W09052N1358W09135N1404W09141N1429W09052,201802260900,SFC,FL170,N1429W09053N1358W09135N1404W09141N1429W09053,201802261500,None,None,NO ASH
201802252124,FUEGO,342090,201802252045,SFC,FL170,N1428W09053N1401W09132N1406W09137N1428W09053,201802260300,SFC,FL170,N1429W09052N1358W09135N1404W09141N1429W09052,201802260900,SFC,FL170,N1429W09053N1358W09135N1404W09141N1429W09053,201802261500,None,None,NO ASH
201802251534,FUEGO,342090,201802251500,SFC,FL170,N1428W09053N1427W09053N1402W09128N1407W09134N1428W09053,201802252100,SFC,FL170,N1428W09053N1427W09052N1359W09131N1406W09138N1428W09053,201802260300,SFC,FL170,N1428W09052N1427W09052N1359W09131N1405W09138N1428W09052,201802260900,SFC,FL170,N1428W09052N1427W09052N1359W09131N1405W09138N1428W09052
201802250947,FUEGO,342090,201802250930,SFC,FL150,N1430W09053N1426W09052N1417W09059N1422W09101N1430W09053,201802251530,SFC,FL150,N1420W09056N1416W09050N1407W09058N1411W09105N1420W09056,201802252130,None,None,NO ASH,201802260330,None,None,NO ASH
201802241236,FUEGO,342090,201802241130,SFC,FL170,N1429W09053N1420W09102N1426W09104N1429W09053,201802241800,SFC,FL170,N1429W09053N1418W09104N1425W09108N1429W09053,201802250000,SFC,FL170,N1429W09053N1417W09104N1425W09108N1429W09053,201802250600,None,None,NO ASH
